id,experiment_id,family,apex_angle,rectangle_ratio,pattern,evidence,pieces,utilization,upper_bound,gap,fingerprint
"iso-a90-r2p25","right/apex-90/rectangle-2.25","right","90","2.25","rectangular pairs","proven_optimal","288","1","1","0","tpa1-ede6c53070f3e70d"
"iso-a90-r2p4","right/apex-90/rectangle-2.4","right","90","2.4","rectangular pairs","verified_best_known","300","0.9765625","0.9993489583333334","0.02278645833333337","tpa1-c1ee2cfdccab7898"
"iso-a90-r2p55","right/apex-90/rectangle-2.55","right","90","2.55","rectangular pairs","verified_best_known","300","0.9191176470588236","0.9987745098039217","0.07965686274509809","tpa1-c7d1766a5fda7304"
"iso-a90-r2p7","right/apex-90/rectangle-2.7","right","90","2.7","rectangular pairs","verified_best_known","300","0.8680555555555555","0.9982638888888888","0.13020833333333337","tpa1-14aac1940ddb034d"
"iso-a90-r2p85","right/apex-90/rectangle-2.85","right","90","2.85","rectangular pairs","verified_best_known","300","0.8223684210526315","0.9978070175438596","0.17543859649122806","tpa1-1b65e5894dd45dea"
"iso-a90-r3","right/apex-90/rectangle-3","right","90","3","rectangular pairs","verified_best_known","300","0.78125","1","0.21875","tpa1-b56c80221ed17152"
"iso-a95-r0p75","isosceles/apex-95/rectangle-0.75","isosceles","95","0.75","obtuse horizontal lattice","verified_best_known","79","0.8197852203046656","0.9961946980917454","0.17640947778707983","tpa1-f617334260c0d685"
"iso-a95-r0p9","isosceles/apex-95/rectangle-0.9","isosceles","95","0.9","obtuse horizontal lattice","verified_best_known","98","0.8474572952516571","0.9944651934075583","0.1470078981559012","tpa1-943aa9d230580daa"
"iso-a95-r1p05","isosceles/apex-95/rectangle-1.05","isosceles","95","1.05","diagonal lattice","verified_best_known","112","0.8301622484097867","0.9932298329188533","0.16306758450906655","tpa1-7c9ca853054b98c1"
"iso-a95-r1p2","isosceles/apex-95/rectangle-1.2","isosceles","95","1.2","obtuse horizontal lattice","verified_best_known","132","0.8561048186725925","0.9987889551180261","0.14268413644543365","tpa1-2a27c2c39cf60a4f"
"iso-a95-r1p35","isosceles/apex-95/rectangle-1.35","isosceles","95","1.35","obtuse horizontal lattice","verified_best_known","149","0.8589873264795719","0.9973477012145368","0.13836037473496487","tpa1-ade741d22416850d"
"iso-a95-r1p5","isosceles/apex-95/rectangle-1.5","isosceles","95","1.5","obtuse horizontal lattice","verified_best_known","165","0.8561048186725945","0.9961946980917454","0.14008987941915096","tpa1-1404363bb75f4db5"
"iso-a95-r1p65","isosceles/apex-95/rectangle-1.65","isosceles","95","1.65","obtuse horizontal lattice","verified_best_known","182","0.8584632341510322","0.9999681628572444","0.14150492870621223","tpa1-be127c8ef552661c"
"iso-a95-r1p8","isosceles/apex-95/rectangle-1.8","isosceles","95","1.8","obtuse horizontal lattice","verified_best_known","198","0.8561048186725957","0.998788955118026","0.14268413644543032","tpa1-2f62e3cf548aee2e"
